"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022626","cytosolic ribosome","80/6019","116/19650",1.86891580449262e-17,1.40168685336946e-14,1.22954987137672e-14,"RPS8/RPS27/RPL5/RPL22/RPS7/RPLP0P6/RPL31/RPS27A/RPL37A/RPL29/RPL32/RPL14/RPSA/RPL24/RPL15/RPL34/RPS3A/PELO/RPS14/RPS23/RACK1/RPL37/ETF1/RPS12/RPL7L1/EEF1A1/RPL10A/RPS18/RPL36A/RPL10/RPL39/RPS4X/RPL30/RPL7/RPS20/RPL8/RPL12/RPL7A/RPS6/RPS3/RPLP2/RPS25/RPL27A/RPS13/FAU/RPS26/RPL41/RNF10/RPL6/RPLP0/RPL21/RPS29/RPL36AL/RPLP1/RPL4/RPS17/USP10/RPL13/RPS2/ZNF598/RSL1D1/RPL26/RPL23A/RPL19/RPL38/RPL17/RPS16/RPL28/RPS15/RPS28/RPL18/RPS11/RPL13A/RPS9/RPL36/RPL18A/RPS19/RPS5/RPL3/SNU13",80
"GO:0005925","focal adhesion","208/6019","422/19650",4.61479984636959e-16,1.7305499423886e-13,1.51802626525315e-13,"SLC9A1/EPHA2/BCAR3/CNN3/PIP5K1A/MPZL1/RHOU/RPS8/RPL5/NFASC/SHC1/CSRP1/FBLIM1/ARHGEF2/PTPRC/JAK1/NEXN/ACTN2/RPL22/FHL3/RPS7/RPL31/FHL2/ITGB6/IL1RL1/KLF11/RHOB/RND3/TM4SF20/LIMS2/XIRP2/FBLN7/ITGA6/RPL37A/ADAM17/TNS1/FAM107A/MME/LMLN/XIRP1/CTNNB1/PHLDB2/ANXA5/PALLD/FGFR3/RPS3A/ITGA2/CTNNA1/ARHGAP26/SPRY4/NPM1/G3BP1/RPS14/PDLIM7/AKAP12/WASF1/HSPA1A/HSPA1B/TRIM15/RPL10A/RPS18/HMGA1/DST/GJA1/NEDD9/TES/CAV2/YWHAG/HSPB1/ACTB/CAV1/PPIA/GNB2/TRIP6/FLNC/ZYX/PTPN12/ARPC1B/EGFR/TNS3/FHL1/STARD8/SHROOM4/MSN/SH3KBP1/RPS4X/ZNF185/DLC1/RPL30/SDCBP/RPL7/SNTB1/PABPC1/RPL8/SORBS3/ADGRB1/ANXA1/RPL12/TEK/AIF1L/RPL7A/HSPA5/GSN/TNC/ENG/AHNAK/NOX4/HSPA8/RPS3/RPLP2/PARVA/RHOG/ILK/MCAM/AMBRA1/RPS13/TSPAN4/CD81/CD59/VCL/ARHGAP22/VIM/PDLIM1/SORBS1/ITGA5/CSRP2/TNS2/CORO1C/HSP90B1/ARPC3/PCBP2/RPL6/RPLP0/PXN/LIMA1/EFNB2/TNFSF13B/ARHGEF7/FLT1/EFS/ZFYVE21/ACTN1/ARF6/NUMB/RPS29/EVL/FERMT2/RPLP1/KIF23/FES/MAP2K1/RPL4/PDIA3/RPS17/CORO2B/BCAR1/ARMC5/TGFB1I1/ATP6V0C/RPS2/CDH13/GRB7/TNS4/GNA13/MPRIP/ALOX15B/RPL19/ACTG1/P4HB/MRC2/RPL38/CLTC/JUP/YES1/CDH2/MAPRE2/SDC4/MAPRE1/PROCR/HCK/CNN2/ADGRE5/PLAUR/RPS16/ICAM1/RPS15/RPL18/CNN1/RPS11/RPL13A/BSG/RPS9/NECTIN2/RPS19/RPS5/ACTN4/TPM4/PVR/TLE2/DNM2/RPL3/TRIOBP/PARVG/PACSIN2/MYH9/SCARF2/CDC42EP1/RAC2",208
"GO:0030055","cell-substrate junction","211/6019","432/19650",9.79518013304968e-16,2.44879503326242e-13,2.14806581865124e-13,"SLC9A1/EPHA2/BCAR3/CNN3/PIP5K1A/MPZL1/RHOU/RPS8/RPL5/NFASC/SHC1/CSRP1/FBLIM1/ARHGEF2/PTPRC/JAK1/NEXN/ACTN2/RPL22/FHL3/RPS7/RPL31/FHL2/ITGB6/IL1RL1/KLF11/RHOB/RND3/TM4SF20/LIMS2/XIRP2/FBLN7/ITGA6/RPL37A/ADAM17/TNS1/FAM107A/MME/LMLN/XIRP1/CTNNB1/PHLDB2/ANXA5/PALLD/FGFR3/RPS3A/ITGA2/CTNNA1/ARHGAP26/SPRY4/NPM1/G3BP1/RPS14/PDLIM7/AKAP12/WASF1/HSPA1A/HSPA1B/TRIM15/RPL10A/RPS18/HMGA1/DST/GJA1/NEDD9/TES/CAV2/YWHAG/HSPB1/ACTB/CAV1/PPIA/GNB2/TRIP6/FLNC/ZYX/PTPN12/ARPC1B/EGFR/TNS3/FHL1/STARD8/SHROOM4/MSN/SH3KBP1/DMD/RPS4X/ZNF185/DLC1/RPL30/SDCBP/RPL7/SNTB1/PABPC1/RPL8/SORBS3/ADGRB1/ANXA1/RPL12/TEK/AIF1L/RPL7A/HSPA5/GSN/TNC/ENG/AHNAK/NOX4/HSPA8/RPS3/RPLP2/PARVA/RHOG/ILK/MCAM/AMBRA1/RPS13/TSPAN4/CD81/CD59/VCL/ARHGAP22/VIM/COL17A1/PDLIM1/SORBS1/ITGA5/CSRP2/TNS2/CORO1C/HSP90B1/ARPC3/PCBP2/RPL6/RPLP0/PXN/LIMA1/EFNB2/TNFSF13B/ARHGEF7/FLT1/EFS/ZFYVE21/ACTN1/ARF6/NUMB/RPS29/EVL/FERMT2/CIB2/RPLP1/KIF23/FES/MAP2K1/RPL4/PDIA3/RPS17/CORO2B/BCAR1/ARMC5/TGFB1I1/ATP6V0C/RPS2/CDH13/GRB7/TNS4/GNA13/MPRIP/ALOX15B/RPL19/ACTG1/P4HB/MRC2/RPL38/CLTC/JUP/YES1/CDH2/MAPRE2/SDC4/MAPRE1/PROCR/HCK/CNN2/ADGRE5/PLAUR/RPS16/ICAM1/RPS15/RPL18/CNN1/RPS11/RPL13A/BSG/RPS9/NECTIN2/RPS19/RPS5/ACTN4/TPM4/PVR/TLE2/DNM2/RPL3/TRIOBP/PARVG/PACSIN2/MYH9/SCARF2/CDC42EP1/RAC2",211
"GO:0022625","cytosolic large ribosomal subunit","45/6019","58/19650",2.14115969876359e-13,4.01467443518174e-11,3.52164424138749e-11,"RPL5/RPL22/RPLP0P6/RPL31/RPL37A/RPL29/RPL32/RPL14/RPL24/RPL15/RPL34/RPL37/RPL7L1/RPL10A/RPL36A/RPL10/RPL39/RPL30/RPL7/RPL8/RPL12/RPL7A/RPLP2/RPL27A/RPL41/RPL6/RPLP0/RPL21/RPL36AL/RPLP1/RPL4/RPL13/RSL1D1/RPL26/RPL23A/RPL19/RPL38/RPL17/RPL28/RPL18/RPL13A/RPL36/RPL18A/RPL3/SNU13",45
"GO:0044391","ribosomal subunit","97/6019","187/19650",1.00700396680843e-09,1.51050595021264e-07,1.32500521948478e-07,"RPS8/RPS27/MRPL37/RPL5/RPL22/RPS7/RPLP0P6/MRPL19/RPL31/MRPL35/RPS27A/RPL37A/MRPL44/RPL29/RPL32/NSUN3/RPL14/RPSA/RPL24/RPL15/MRPL1/RPL34/RPS3A/MRPL36/MRPS30/NPM1/RPS14/RPS23/RACK1/RPL37/RPS12/RPL7L1/RPL10A/RPS18/MRPS24/RPL36A/RPL10/RPL39/RPS4X/RPL30/MRPL13/RPL7/RPS20/RPL8/RPL12/RPL7A/RPS6/MRPS2/RPS3/RPLP2/MRPL23/RPS25/RPL27A/RPS13/FAU/CHCHD1/MRPS16/MRPL42/RPS26/RPL41/RPL6/RPLP0/RPL21/RPS29/RPL36AL/RPLP1/RPL4/RPS17/MRPS34/RPL13/RPS2/RSL1D1/MRPS23/RPL26/RPL23A/MRPS7/RPL19/MRPL27/MRPL58/RPL38/RPL17/RPS16/RPL28/MRPL4/RPS15/RPS28/RPL18/RPS11/RPL13A/RPS9/RPL36/RPL18A/RPS19/RPS5/RPL3/SNU13/MRPS6",97
"GO:0005840","ribosome","114/6019","236/19650",8.34188092995964e-09,1.04273511624495e-06,9.14679926530662e-07,"ELAVL4/RPS8/RPS27/MRPL37/RPL5/RPL22/RPS7/RPLP0P6/MRPL19/RPL31/MRPL35/EIF2AK2/RPS27A/RPL37A/MRPL44/RPL22L1/RPL29/RPL32/NSUN3/RPL14/RPSA/RPL24/RPL15/MRPL1/RPL34/RPS3A/MRPL36/MRPS30/PELO/NPM1/RPS14/RPS23/RACK1/BTF3/RPL37/ETF1/RPS12/RPL7L1/EEF1A1/RPL10A/RPS18/MRPS24/RPL36A/RPL10/RPL39/RPS4X/RPL30/MRPL13/RPL7/RPS20/RPL8/EIF3H/RPL12/RPL7A/RPS6/MRPS2/RPS3/RPLP2/MRPL23/RPS25/RPL27A/RPS13/FAU/SF1/CHCHD1/MRPS16/MRPL42/RPS26/RPL41/RNF10/RPL6/RPLP0/RPL21/RPL13AP3/RPS6KL1/APEX1/RPS29/RPL36AL/RPLP1/RPL4/RPS17/MRPS34/USP10/RPL13/RPS2/ZNF598/RSL1D1/MRPS23/RPL26/RPL23A/MRPS7/RPL19/MRPL27/MRPL58/RPL38/NUFIP2/RPL17/RPS16/RPL28/MRPL4/RPS15/RPS28/RPL18/RPS11/RPL13A/RPS9/RPL36/RPL18A/RPS19/RPS5/RPL3/SNU13/MRPS6/RNA5-8SN5",114
"GO:0043505","CENP-A containing nucleosome","17/6019","18/19650",2.31870041741186e-08,2.17378164132362e-06,1.90682600116107e-06,"H4C14/CENPA/H4C1/H2AC4/H4C4/H4C13/H4C6/H4C3/H4C8/H4C11/H4C12/H4C2/H4C5/H2BC11/H4C9/H2AC8/H4C16",17
"GO:0061638","CENP-A containing chromatin","17/6019","18/19650",2.31870041741186e-08,2.17378164132362e-06,1.90682600116107e-06,"H4C14/CENPA/H4C1/H2AC4/H4C4/H4C13/H4C6/H4C3/H4C8/H4C11/H4C12/H4C2/H4C5/H2BC11/H4C9/H2AC8/H4C16",17
"GO:0042788","polysomal ribosome","24/6019","31/19650",1.05021580475745e-07,8.75179837297873e-06,7.67701611664801e-06,"ELAVL4/RPL31/RPL32/RPL24/RPS23/BTF3/RPL10A/RPL36A/RPL39/RPL30/RPL8/EIF3H/RPL7A/RPS26/RPL41/RPL6/RPS29/RPL19/RPL38/NUFIP2/RPS28/RPL18/RPL36/RPL18A",24
"GO:0022627","cytosolic small ribosomal subunit","29/6019","41/19650",1.44163404076544e-07,1.06877679796406e-05,9.37523506986015e-06,"RPS8/RPS27/RPS7/RPS27A/RPSA/RPS3A/RPS14/RPS23/RACK1/RPS12/RPS18/RPS4X/RPS20/RPS6/RPS3/RPS25/RPS13/FAU/RPS26/RPS29/RPS17/RPS2/RPS16/RPS15/RPS28/RPS11/RPS9/RPS19/RPS5",29
"GO:0034506","chromosome, centromeric core domain","17/6019","19/19650",1.56753930368062e-07,1.06877679796406e-05,9.37523506986015e-06,"H4C14/CENPA/H4C1/H2AC4/H4C4/H4C13/H4C6/H4C3/H4C8/H4C11/H4C12/H4C2/H4C5/H2BC11/H4C9/H2AC8/H4C16",17
"GO:0001725","stress fiber","42/6019","70/19650",3.46538552905596e-07,1.99926088214767e-05,1.75373761591901e-05,"ACTL8/ACTA1/ROR1/FBLIM1/FHL3/XIRP2/FAM107A/MYLK/XIRP1/SEPTIN11/PALLD/PDLIM3/SYNPO/PDLIM4/PDLIM7/ABLIM3/FSCN1/TRIP6/ZYX/SH2B2/SHROOM4/TEK/ILK/BAG3/PDLIM1/ABLIM1/SORBS1/ACTA2/PXN/LIMA1/ACTN1/FERMT2/MYH6/MYH7/TPM1/SEPTIN12/MYL12A/MYL12B/MYL9/CNN2/TPM4/MYH9",42
"GO:0097517","contractile actin filament bundle","42/6019","70/19650",3.46538552905596e-07,1.99926088214767e-05,1.75373761591901e-05,"ACTL8/ACTA1/ROR1/FBLIM1/FHL3/XIRP2/FAM107A/MYLK/XIRP1/SEPTIN11/PALLD/PDLIM3/SYNPO/PDLIM4/PDLIM7/ABLIM3/FSCN1/TRIP6/ZYX/SH2B2/SHROOM4/TEK/ILK/BAG3/PDLIM1/ABLIM1/SORBS1/ACTA2/PXN/LIMA1/ACTN1/FERMT2/MYH6/MYH7/TPM1/SEPTIN12/MYL12A/MYL12B/MYL9/CNN2/TPM4/MYH9",42
"GO:0005844","polysome","40/6019","67/19650",7.88801813744713e-07,4.22572400220382e-05,3.70677544052967e-05,"ELAVL4/LIN28A/AGO1/RPL31/DIS3L2/HDLBP/RPL32/RPL24/RPS23/BTF3/RPL10A/EIF4H/VBP1/RPL36A/RPL39/RPS4X/RPL30/RPL8/EIF3H/RPL7A/RPS6/RPS3/VIM/ATXN2/RPS26/RPL41/RPL6/MSI1/EIF2S1/RPS29/LARP6/MSI2/RPL19/RPL38/NUFIP2/RPS28/RPL18/RPL36/EEF2/RPL18A",40
