"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022626","cytosolic ribosome","85/7054","116/19650",2.32618355735594e-16,1.75626858580373e-13,1.51569223368771e-13,"RPL11/RPS8/RPS27/RPL5/RPL22/RPLP0P6/RPL31/RPS27A/RPL37A/RPL29/RPL39L/RPL32/RPL14/RPSA/APOD/RPL24/RPL15/RPL9/RPL34/RPS3A/PELO/RPS14/RPS23/RACK1/RPL37/ETF1/ASCC3/RPS12/EEF1A1/RPL10A/RPS18/RPL36A/RPL10/RPL39/RPS4X/RPL30/RPL7/RPS20/RPL12/RPL7A/RPS6/RPS3/RPLP2/RPS25/RPL27A/RPS13/FAU/RPS24/RPS26/RPL41/RNF10/RPL6/RPLP0/RPL21/RPS29/RPL36AL/RPLP1/RPL4/RPS17/RPL13/RPS2/ZNF598/RSL1D1/GSPT1/RPL26/RPL23A/RPL19/RPL38/RPL23/RPL17/RPS16/RPL28/RPS15/RPS28/RPL18/RPS11/RPL13A/RPS9/UBA52/RPL36/RPL18A/RPS19/RPS5/RPL3/SNU13",85
"GO:0022625","cytosolic large ribosomal subunit","48/7054","58/19650",2.7968462316751e-13,1.05580945245735e-10,9.11183061793099e-11,"RPL11/RPL5/RPL22/RPLP0P6/RPL31/RPL37A/RPL29/RPL39L/RPL32/RPL14/RPL24/RPL15/RPL9/RPL34/RPL37/RPL10A/RPL36A/RPL10/RPL39/RPL30/RPL7/RPL12/RPL7A/RPLP2/RPL27A/RPL41/RPL6/RPLP0/RPL21/RPL36AL/RPLP1/RPL4/RPL13/RSL1D1/RPL26/RPL23A/RPL19/RPL38/RPL23/RPL17/RPL28/RPL18/RPL13A/UBA52/RPL36/RPL18A/RPL3/SNU13",48
"GO:0009897","external side of plasma membrane","197/7054","388/19650",1.03603505486138e-09,2.60735488806779e-07,2.25019543494453e-07,"S1PR1/F3/VCAM1/CD2/LY9/SELE/SELL/ASTN1/SLAMF7/SELP/CD244/FCRL6/SLAMF9/CD34/LEPR/FCER1G/CD1A/CD1C/CD1B/ECE1/FCGR1A/TNFRSF14/ITGA10/FCGR2B/SLAMF6/CD84/IL12RB2/IL23R/PTPRC/CHRNB2/IL6R/FASLG/TNFRSF9/FCGR3A/CD1D/PCSK9/ACKR3/TRPM8/IL1R1/IL1RL1/SDC1/ITGA4/LCT/CXCR1/CD28/CXCR4/CXCR2/CD80/TGFBR2/CCR4/IL5RA/CXCR6/CCR1/CCR2/CCR3/CD86/CCR5/CCR8/CX3CR1/CD200R1/HHLA2/CCR9/XCR1/CD200R1L/ANXA5/EPHA5/ABCG2/CXCL9/CXCL10/KIT/ENPEP/BTNL9/LIFR/BTNL3/CD74/IL12B/IL31RA/IL6ST/OSMR/CD83/PKHD1/MOG/HLA-E/BTN1A1/RAET1E/TNF/PLG/CD36/ABCB1/TFR2/MUC17/TRGC2/TRGV9/TRGV5/TRGV4/TRGV1/AZGP1/CXCR3/RS1/IL2RG/TLR8/COLEC10/GPIHBP1/ABCA1/CD274/PDCD1LG2/FCN1/B4GALT1/ENG/CD248/FOLR1/FOLR3/IZUMO1R/MS4A1/CD3D/CD3G/F2/CUBN/MBL2/IL2RA/CXCL12/CLEC4E/KLRD1/CLEC4D/KLRK1/CLEC6A/ITGA5/LAG3/KLRC1/SCNN1A/CD27/CLEC4C/CD163/KLRC2/CLEC2D/ITGA7/F10/ABCC4/CLEC14A/SERPINA5/ADAM21/CD276/ANPEP/MFGE8/SEMA7A/THBS1/SLC7A5/CD19/SPN/ITGAM/ITGAX/ITGAD/ITGAL/IL4R/IL21R/CDH5/P2RX1/ATP1B2/P4HB/CLEC10A/DNAI2/GP1BA/ASGR2/ITGAE/ITGA3/CA4/CD226/CHRNA4/PRNP/CD40/GFRA4/THBD/INSR/PLAUR/CD22/CLEC17A/ICAM1/IL12RB1/EPOR/CD209/RTBDN/CLPTM1/CRLF1/CD33/LILRB1/CEACAM21/CD79A/BCAM/LDLR/MUC16/ADGRE1/TNFRSF13C/IL2RB/ABCG1/UMODL1/ITGB2/ICOSLG",197
"GO:0000775","chromosome, centromeric region","136/7054","258/19650",2.12141592465204e-08,4.00417255778072e-06,3.45567488778845e-06,"SYCP1/GTF2B/FIRRM/NUF2/NEK2/NSL1/CENPS/KIF2C/PLK3/ITGB3BP/MEAF6/H3-3A/PSEN2/CDC20/CENPL/H4C14/CENPF/CDCA8/SMC6/HJURP/SPC25/BUB1/XPO1/CENPO/GPATCH11/SGO2/CENPA/SGO1/CHMP2B/SMC4/MAD2L1/ZNF330/NCAPG/CENPU/CENPE/CENPK/PLK2/SPDL1/CCNB1/PPP2CA/APC/CENPQ/PKHD1/TTK/PHF10/CENPW/H4C1/H2AC4/H4C4/H4C13/H4C6/H4C3/H4C8/H4C11/H4C12/H4C2/H4C5/H2BC11/H4C9/H2AC8/DAXX/ACTB/ACTL6B/MAD1L1/EZH2/IKZF1/STAG3/ATRX/CENPI/PHF6/SUV39H1/ERCC6L/DCTN6/MTBP/DSCC1/HSF1/PPP2CB/RAD21/ESCO2/PINX1/PHF2/KIF18A/NCAPD3/CDCA5/KDM4D/NUP98/CKAP5/INCENP/ZWINT/SUV39H2/HELLS/SYCP3/DYNLL1/KNTC1/CBX5/NCAPD2/DCTN2/CLIP1/H4C16/SKA3/BAZ1A/MIS18BP1/PSEN1/BUB1B/OIP5/KNSTRN/KNL1/SIN3A/KAT8/PLK1/FLYWCH1/CENPN/TOP2A/AURKB/H3-3B/NDEL1/SPAG5/SKA2/BIRC5/ZNF207/MIS12/SKA1/NDC80/CHMP1B/SNAI1/DSN1/CHMP4B/AURKA/CEBPB/KMT5C/CHMP2A/SPC24/CENPM/SMC1B/SUMO3/MIS18A",136
"GO:0043505","CENP-A containing nucleosome","17/7054","18/19650",3.21113905524319e-07,4.04068331118102e-05,3.48718434244831e-05,"H4C14/CENPA/H4C1/H2AC4/H4C4/H4C13/H4C6/H4C3/H4C8/H4C11/H4C12/H4C2/H4C5/H2BC11/H4C9/H2AC8/H4C16",17
"GO:0061638","CENP-A containing chromatin","17/7054","18/19650",3.21113905524319e-07,4.04068331118102e-05,3.48718434244831e-05,"H4C14/CENPA/H4C1/H2AC4/H4C4/H4C13/H4C6/H4C3/H4C8/H4C11/H4C12/H4C2/H4C5/H2BC11/H4C9/H2AC8/H4C16",17
"GO:0000940","outer kinetochore","18/7054","20/19650",8.01739137399212e-07,8.64732926766293e-05,7.46280490300921e-05,"NUF2/NSL1/CENPF/SPC25/BUB1/SPDL1/CCNB1/ZWINT/SKA3/BUB1B/KNL1/PLK1/SKA2/MIS12/SKA1/NDC80/DSN1/SPC24",18
"GO:0022627","cytosolic small ribosomal subunit","30/7054","41/19650",1.28740864902926e-06,0.000121499191252136,0.000104856046545935,"RPS8/RPS27/RPS27A/RPSA/RPS3A/RPS14/RPS23/RACK1/RPS12/RPS18/RPS4X/RPS20/RPS6/RPS3/RPS25/RPS13/FAU/RPS24/RPS26/RPS29/RPS17/RPS2/RPS16/RPS15/RPS28/RPS11/RPS9/UBA52/RPS19/RPS5",30
"GO:0030055","cell-substrate junction","202/7054","432/19650",1.80384087719207e-06,0.000151322206920001,0.000130593859997882,"SLC9A1/EPHA2/BCAR3/CNN3/PIP5K1A/RHOU/RPS8/RPL5/CSRP1/PTPRC/JAK1/ACTN2/RPL22/FHL3/RPL31/FHL2/EPB41L5/IL1RL1/KLF11/RHOB/RND3/ITGA4/TM4SF20/LIMS2/XIRP2/FBLN7/RPL37A/ADAM17/TNS1/MME/CAV3/PHLDB2/LPP/SYNPO2/ANXA5/RPL9/FAT1/GAK/ADD1/PALLD/RPS3A/CTNNA1/ARHGAP26/PDGFRB/SPRY4/HSPA9/NPM1/G3BP1/RPS14/AKAP12/PTK7/HSPA1A/HSPA1B/TRIM15/RPL10A/RPS18/EZR/HMGA1/DST/GJA1/NEDD9/TES/YWHAG/HSPB1/ACTB/CAV1/GNB2/TRIP6/FLNC/ZYX/PTPN12/ARPC1B/RAC1/TNS3/SMPX/FLNA/FHL1/STARD8/SHROOM4/RPS4X/DLC1/RPL30/RPL7/EPPK1/PABPC1/SORBS3/PRAG1/PGM5/ANXA1/RPL12/TEK/RPL7A/HSPA5/GSN/HNRNPK/ENG/RRAS2/NOX4/RPS3/RPLP2/PARVA/RHOG/CTTN/AMBRA1/RPS13/TSPAN4/CD81/NRAP/ARHGAP22/VIM/COL17A1/PDLIM1/ITGB7/ITGA5/RAB21/TNS2/ARPC3/PCBP2/RPL6/RPLP0/PXN/LIMA1/TSPAN9/LCP1/EFNB2/TNFSF13B/FLT1/ARF6/NUMB/RPS29/EVL/FERMT2/RPLP1/KIF23/CHP1/FES/MAP2K1/RPL4/PDIA3/RPS17/CORO2B/BCAR1/MAPK3/ARMC5/TGFB1I1/ATP6V0C/RPS2/NHERF2/GRB7/TNS4/GNA13/MPRIP/ALOX15B/RPL19/ACTG1/P4HB/MRC2/GIT1/RPL38/FLII/FLOT2/JUP/ITGB4/ITGA3/RPL23/YES1/CDH2/LAMA3/MAPRE2/SDC4/MAPRE1/PROCR/HCK/TGM2/MISP/CNN2/PLAUR/RPS16/ICAM1/RPS15/RPL18/CNN1/RPS11/RPL13A/BSG/PIP5K1C/RPS9/NECTIN2/MAP2K2/PEAK3/RPS19/RPS5/ACTN4/TLE2/DNM2/RPL3/TRIOBP/PARVG/PACSIN2/MYH9/CDC42EP1/ITGB2",202
"GO:0034506","chromosome, centromeric core domain","17/7054","19/19650",2.01950355364233e-06,0.000152472518299996,0.000131586599968905,"H4C14/CENPA/H4C1/H2AC4/H4C4/H4C13/H4C6/H4C3/H4C8/H4C11/H4C12/H4C2/H4C5/H2BC11/H4C9/H2AC8/H4C16",17
