Geneid	HER21	HER22	HER23	NonTNBC1	NonTNBC2	NonTNBC3	Normal1	Normal2	Normal3	TNBC1	TNBC2	TNBC3
ENSG00000279928	0	0	0	6	4	2	0	0	0	5	3	5
ENSG00000228037	1	4	7	10	4	10	3	11	18	4	3	2
ENSG00000142611	14	3	55	18	34	38	9	105	49	28	10	21
ENSG00000284616	0	0	0	0	1	1	0	0	0	0	0	3
ENSG00000157911	49	119	97	402	243	167	157	218	158	68	147	105
ENSG00000269896	4	11	5	23	23	16	31	48	58	15	4	10
ENSG00000228463	4	4	4	6	13	13	2	26	11	8	6	7
ENSG00000260972	0	0	0	0	5	3	0	0	0	6	2	3
ENSG00000224340	2	3	0	1	2	7	0	0	1	6	1	0
ENSG00000226374	0	0	0	5	1	5	0	0	0	11	3	8
ENSG00000229280	0	0	0	1	0	0	0	0	0	1	0	3
ENSG00000142655	69	113	65	141	109	82	154	600	618	86	71	59
ENSG00000232596	0	1	0	4	6	3	1	0	0	12	4	6
ENSG00000235054	0	4	0	6	10	7	1	0	0	18	5	3
ENSG00000231510	0	0	0	0	3	2	0	0	0	3	1	0
ENSG00000149527	67	13	97	110	32	38	126	277	302	41	57	46
ENSG00000284739	0	0	0	0	2	0	0	0	0	3	0	1
ENSG00000171621	119	483	187	360	282	328	1271	3707	7392	281	726	476
ENSG00000272235	7	0	7	5	7	13	4	6	4	14	6	4
ENSG00000284694	0	0	2	4	5	8	0	0	0	19	11	10
ENSG00000224387	2	0	0	0	1	2	1	1	0	1	2	2
ENSG00000142583	69	104	72	150	24	31	20	66	38	49	67	177
ENSG00000284674	0	0	0	6	6	3	0	0	0	9	8	8
ENSG00000224338	0	0	0	3	2	0	0	0	0	1	0	0
ENSG00000287727	32	35	19	17	14	14	3	11	1	25	6	16
ENSG00000286448	0	0	0	1	1	0	0	0	0	2	0	3
ENSG00000284703	1	1	1	9	9	11	0	0	0	6	5	11
ENSG00000226457	5	4	6	7	2	1	0	1	1	6	3	4
ENSG00000173614	64	63	88	308	154	195	69	99	123	158	123	157
ENSG00000215720	5	16	8	4	3	3	2	0	1	4	3	3
ENSG00000241326	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233623	4	5	0	1	11	6	0	1	0	14	3	4
ENSG00000162592	1	1	0	10	15	21	0	3	0	35	7	21
ENSG00000204624	5	1	13	32	37	28	0	14	5	33	15	18
ENSG00000142606	4	2	15	32	25	21	11	19	22	8	5	27
ENSG00000225931	1	0	1	7	0	7	2	7	9	8	4	6
ENSG00000171729	125	83	126	308	104	101	442	915	1295	121	151	247
ENSG00000279457	6	13	15	30	23	16	48	53	74	26	19	13
ENSG00000229393	3	1	2	2	0	2	0	1	3	2	0	0
ENSG00000037637	444	692	607	827	427	420	279	819	1042	389	405	421
ENSG00000287586	4	2	0	3	7	5	1	0	1	5	1	5
ENSG00000159423	410	105	196	365	296	214	374	582	422	106	231	184
ENSG00000227169	0	0	0	3	3	1	0	0	0	1	5	0
ENSG00000283356	0	0	1	0	1	0	0	0	0	3	2	2
ENSG00000157916	499	750	716	2736	1023	869	631	1099	985	504	869	719
ENSG00000157881	111	125	164	468	292	251	109	482	308	132	179	157
ENSG00000238290	1	7	8	4	8	6	4	8	7	26	5	6
ENSG00000225387	0	0	0	0	0	0	0	1	0	4	0	0
